schema_version,case_id,course_context,offering_context,course_progress_day,risk_band,confidence_band,decision_support_status,fail_risk_band,model_disagreement_band,observed_activity,observed_inactivity_weeks,observed_assessment_progress,observed_grade_trend,observed_evidence_status,reason_codes,proposed_action_ids,proposed_actions,weekly_minutes,priority,human_review_required,scope_note
v6_2_expert_case_v1,CASE-040,Course E,Offering 3,120,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-041,Course C,Offering 3,120,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-042,Course A,Offering 2,134,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,17.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-043,Course D,Offering 1,120,HIGH_RISK,MEDIUM_CONFIDENCE,GENERATED,HIGH,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,ADVISOR_REVIEW_REQUIRED; FOLLOW_UP_REQUIRED,ADVISOR_ESCALATION; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",50,HIGH,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-044,Course F,Offering 1,120,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,LOW,4.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-045,Course B,Offering 1,120,LOW_RISK,HIGH_CONFIDENCE,GENERATED,LOW,LOW,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-046,Course G,Offering 3,120,HIGH_RISK,MEDIUM_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,MEDIUM,LOW,1.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,HIGH,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-047,Course E,Offering 2,134,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-048,Course C,Offering 3,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,18.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-049,Course A,Offering 2,134,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,VLE_ENGAGEMENT; PROGRESS_MONITORING,"VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",65,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-050,Course B,Offering 1,120,HIGH_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,MEDIUM,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-051,Course F,Offering 1,120,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,LOW,LOW,2.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,VLE_ENGAGEMENT; PROGRESS_MONITORING,"VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",65,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-052,Course D,Offering 2,130,HIGH_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,OBSERVED_WITHIN_POLICY_RANGE,0.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-053,Course G,Offering 3,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,14.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-054,Course A,Offering 2,134,MEDIUM_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,LOW,3.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,VLE_ENGAGEMENT; PROGRESS_MONITORING,"VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",65,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-055,Course C,Offering 3,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,14.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-056,Course E,Offering 3,120,MEDIUM_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-057,Course B,Offering 1,120,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,LOW,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,VLE_ENGAGEMENT; PROGRESS_MONITORING,"VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",65,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-058,Course F,Offering 2,134,HIGH_RISK,LOW_CONFIDENCE,ABSTAINED,MEDIUM,HIGH,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,NONE_ABSTAINED,NONE_ABSTAINED,No automatic action; human review is required.,0,HUMAN_REVIEW,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-059,Course D,Offering 1,120,CRITICAL_RISK,HIGH_CONFIDENCE,PARTIAL_EVIDENCE,HIGH,LOW,LOW,18.0,BELOW_HALF_OF_DUE_ASSESSMENTS,NOT_AVAILABLE,MISSING_GRADE_TREND_EVIDENCE,ADVISOR_REVIEW_REQUIRED; ASSESSMENT_PROGRESS_DEFICIT; FOLLOW_UP_REQUIRED; LOW_VLE_ENGAGEMENT,ADVISOR_ESCALATION; ASSESSMENT_COMPLETION; VLE_ENGAGEMENT; PROGRESS_MONITORING,"ADVISOR_ESCALATION: Route the case to a qualified advisor for human review before student contact. (30 min/week)
ASSESSMENT_COMPLETION: Review assessments already due by the cutoff and plan completion of any verified outstanding item. (60 min/week)
VLE_ENGAGEMENT: Offer one short, purposeful VLE study session using currently available material. (45 min/week)
PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week)",155,IMMEDIATE,YES,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
v6_2_expert_case_v1,CASE-060,Course G,Offering 3,120,LOW_RISK,MEDIUM_CONFIDENCE,GENERATED,LOW,MEDIUM,OBSERVED_WITHIN_POLICY_RANGE,1.0,AT_LEAST_HALF_OF_DUE_ASSESSMENTS,NON_DECLINING,COMPLETE_FOR_REGISTERED_RULES,FOLLOW_UP_REQUIRED,PROGRESS_MONITORING,PROGRESS_MONITORING: Review completion and current evidence at the next scheduled checkpoint. (20 min/week),20,ROUTINE,NO,Historical pre-cutoff decision support; outcome and model identity are withheld. Effectiveness is not established.
